version,group,bench_simple,bench_full,mode,mean,unit,timestamp,datetime
new,Cypher,MultiColumnOrderBy.executePlan,"MultiColumnOrderBy.executePlan_(columns,100)_(propertyType,small_string)_(runtime,interpreted)",LATENCY,3237.303637,ms,1580739379847,03/02/2020 14:16:20
new,Cypher,MultiColumnOrderBy.executePlan,"MultiColumnOrderBy.executePlan_(columns,100)_(propertyType,small_string)_(runtime,interpreted)",LATENCY,3419.196621,ms,1580375605806,30/01/2020 09:13:26
new,Cypher,MultiColumnOrderBy.executePlan,"MultiColumnOrderBy.executePlan_(columns,100)_(propertyType,small_string)_(runtime,interpreted)",LATENCY,3407.172949,ms,1580302690978,29/01/2020 12:58:11
new,Cypher,MultiColumnOrderBy.executePlan,"MultiColumnOrderBy.executePlan_(columns,100)_(propertyType,small_string)_(runtime,interpreted)",LATENCY,3462.118332,ms,1580219266961,28/01/2020 13:47:47
new,Cypher,MultiColumnOrderBy.executePlan,"MultiColumnOrderBy.executePlan_(columns,100)_(propertyType,small_string)_(runtime,interpreted)",LATENCY,3160.408064,ms,1579947286224,25/01/2020 10:14:46
new,Cypher,MultiColumnOrderBy.executePlan,"MultiColumnOrderBy.executePlan_(columns,100)_(propertyType,small_string)_(runtime,interpreted)",LATENCY,3344.398199,ms,1579900900073,24/01/2020 21:21:40
new,Cypher,MultiColumnOrderBy.executePlan,"MultiColumnOrderBy.executePlan_(columns,100)_(propertyType,small_string)_(runtime,interpreted)",LATENCY,3279.805918,ms,1579602689118,21/01/2020 10:31:29
new,Cypher,MultiColumnOrderBy.executePlan,"MultiColumnOrderBy.executePlan_(columns,100)_(propertyType,small_string)_(runtime,interpreted)",LATENCY,3348.872124,ms,1579557643855,20/01/2020 22:00:44
new,Cypher,MultiColumnOrderBy.executePlan,"MultiColumnOrderBy.executePlan_(columns,100)_(propertyType,small_string)_(runtime,interpreted)",LATENCY,3409.829342,ms,1579280077629,17/01/2020 16:54:38
new,Cypher,GreaterThanIndexSeek.executePlan,"GreaterThanIndexSeek.executePlan_(propertyType,small_string)_(runtime,interpreted)_(selectivity,0.001)",LATENCY,0.1556486298,ms,1580833090210,04/02/2020 16:18:10
new,Cypher,GreaterThanIndexSeek.executePlan,"GreaterThanIndexSeek.executePlan_(propertyType,small_string)_(runtime,interpreted)_(selectivity,0.001)",LATENCY,0.159281745,ms,1580766830318,03/02/2020 21:53:50
new,Cypher,GreaterThanIndexSeek.executePlan,"GreaterThanIndexSeek.executePlan_(propertyType,small_string)_(runtime,interpreted)_(selectivity,0.001)",LATENCY,0.1556991157,ms,1580739379847,03/02/2020 14:16:20
new,Cypher,GreaterThanIndexSeek.executePlan,"GreaterThanIndexSeek.executePlan_(propertyType,small_string)_(runtime,interpreted)_(selectivity,0.001)",LATENCY,0.155087337,ms,1580375605806,30/01/2020 09:13:26
new,Cypher,GreaterThanIndexSeek.executePlan,"GreaterThanIndexSeek.executePlan_(propertyType,small_string)_(runtime,interpreted)_(selectivity,0.001)",LATENCY,0.1515729546,ms,1580302690978,29/01/2020 12:58:11
new,Cypher,GreaterThanIndexSeek.executePlan,"GreaterThanIndexSeek.executePlan_(propertyType,small_string)_(runtime,interpreted)_(selectivity,0.001)",LATENCY,0.1535557377,ms,1580219266961,28/01/2020 13:47:47
new,Cypher,GreaterThanIndexSeek.executePlan,"GreaterThanIndexSeek.executePlan_(propertyType,small_string)_(runtime,interpreted)_(selectivity,0.001)",LATENCY,0.1647379289,ms,1579947286224,25/01/2020 10:14:46
new,Cypher,GreaterThanIndexSeek.executePlan,"GreaterThanIndexSeek.executePlan_(propertyType,small_string)_(runtime,interpreted)_(selectivity,0.001)",LATENCY,0.1470301067,ms,1579900900073,24/01/2020 21:21:40
new,Cypher,GreaterThanIndexSeek.executePlan,"GreaterThanIndexSeek.executePlan_(propertyType,small_string)_(runtime,interpreted)_(selectivity,0.001)",LATENCY,0.1537510342,ms,1579602689118,21/01/2020 10:31:29
new,Cypher,GreaterThanIndexSeek.executePlan,"GreaterThanIndexSeek.executePlan_(propertyType,small_string)_(runtime,interpreted)_(selectivity,0.001)",LATENCY,0.1497827533,ms,1579557643855,20/01/2020 22:00:44
new,Cypher,GreaterThanIndexSeek.executePlan,"GreaterThanIndexSeek.executePlan_(propertyType,small_string)_(runtime,interpreted)_(selectivity,0.001)",LATENCY,0.1522730501,ms,1579280077629,17/01/2020 16:54:38
new,Cypher,GreaterThanIndexSeek.executePlan,"GreaterThanIndexSeek.executePlan_(propertyType,small_string)_(runtime,interpreted)_(selectivity,0.1)",LATENCY,13.0986435,ms,1580833090210,04/02/2020 16:18:10
new,Cypher,GreaterThanIndexSeek.executePlan,"GreaterThanIndexSeek.executePlan_(propertyType,small_string)_(runtime,interpreted)_(selectivity,0.1)",LATENCY,13.5607077,ms,1580766830318,03/02/2020 21:53:50
new,Cypher,GreaterThanIndexSeek.executePlan,"GreaterThanIndexSeek.executePlan_(propertyType,small_string)_(runtime,interpreted)_(selectivity,0.1)",LATENCY,13.38998696,ms,1580739379847,03/02/2020 14:16:20
new,Cypher,GreaterThanIndexSeek.executePlan,"GreaterThanIndexSeek.executePlan_(propertyType,small_string)_(runtime,interpreted)_(selectivity,0.1)",LATENCY,14.09604594,ms,1580375605806,30/01/2020 09:13:26
new,Cypher,GreaterThanIndexSeek.executePlan,"GreaterThanIndexSeek.executePlan_(propertyType,small_string)_(runtime,interpreted)_(selectivity,0.1)",LATENCY,13.45191877,ms,1580302690978,29/01/2020 12:58:11
new,Cypher,GreaterThanIndexSeek.executePlan,"GreaterThanIndexSeek.executePlan_(propertyType,small_string)_(runtime,interpreted)_(selectivity,0.1)",LATENCY,14.4723217,ms,1580219266961,28/01/2020 13:47:47
new,Cypher,GreaterThanIndexSeek.executePlan,"GreaterThanIndexSeek.executePlan_(propertyType,small_string)_(runtime,interpreted)_(selectivity,0.1)",LATENCY,15.16615908,ms,1579947286224,25/01/2020 10:14:46
new,Cypher,GreaterThanIndexSeek.executePlan,"GreaterThanIndexSeek.executePlan_(propertyType,small_string)_(runtime,interpreted)_(selectivity,0.1)",LATENCY,13.64705295,ms,1579900900073,24/01/2020 21:21:40
new,Cypher,GreaterThanIndexSeek.executePlan,"GreaterThanIndexSeek.executePlan_(propertyType,small_string)_(runtime,interpreted)_(selectivity,0.1)",LATENCY,13.42241984,ms,1579602689118,21/01/2020 10:31:29
new,Cypher,GreaterThanIndexSeek.executePlan,"GreaterThanIndexSeek.executePlan_(propertyType,small_string)_(runtime,interpreted)_(selectivity,0.1)",LATENCY,12.97938666,ms,1579557643855,20/01/2020 22:00:44
new,Cypher,GreaterThanIndexSeek.executePlan,"GreaterThanIndexSeek.executePlan_(propertyType,small_string)_(runtime,interpreted)_(selectivity,0.1)",LATENCY,13.41840813,ms,1579280077629,17/01/2020 16:54:38
new,Cypher,OrderBy.executePlan,"OrderBy.executePlan_(propertyType,small_string)_(runtime,interpreted)",LATENCY,2605.973504,ms,1580833090210,04/02/2020 16:18:10
new,Cypher,OrderBy.executePlan,"OrderBy.executePlan_(propertyType,small_string)_(runtime,interpreted)",LATENCY,2659.608166,ms,1580766830318,03/02/2020 21:53:50
new,Cypher,OrderBy.executePlan,"OrderBy.executePlan_(propertyType,small_string)_(runtime,interpreted)",LATENCY,2514.601756,ms,1580739379847,03/02/2020 14:16:20
new,Cypher,OrderBy.executePlan,"OrderBy.executePlan_(propertyType,small_string)_(runtime,interpreted)",LATENCY,2637.518165,ms,1580375605806,30/01/2020 09:13:26
new,Cypher,OrderBy.executePlan,"OrderBy.executePlan_(propertyType,small_string)_(runtime,interpreted)",LATENCY,2594.57024,ms,1580302690978,29/01/2020 12:58:11
new,Cypher,OrderBy.executePlan,"OrderBy.executePlan_(propertyType,small_string)_(runtime,interpreted)",LATENCY,2616.298595,ms,1580219266961,28/01/2020 13:47:47
new,Cypher,OrderBy.executePlan,"OrderBy.executePlan_(propertyType,small_string)_(runtime,interpreted)",LATENCY,2501.019325,ms,1579947286224,25/01/2020 10:14:46
new,Cypher,OrderBy.executePlan,"OrderBy.executePlan_(propertyType,small_string)_(runtime,interpreted)",LATENCY,2608.180587,ms,1579900900073,24/01/2020 21:21:40
