version,group,bench_simple,bench_full,mode,mean,unit,timestamp,datetime
old,Cypher,Top.executePlan,"Top.executePlan_(limit,1)_(runtime,slotted)_(sort_type,small_string)",LATENCY,74.45329092,ms,1575228520664,01/12/2019 19:28:41
old,Cypher,ExpandInto.executePlan,"ExpandInto.executePlan_(runtime,compiled-bytecode)",LATENCY,1558.114031,ms,1576452190236,15/12/2019 23:23:10
old,Cypher,ExpandInto.executePlan,"ExpandInto.executePlan_(runtime,compiled-bytecode)",LATENCY,1333.194479,ms,1576214538490,13/12/2019 05:22:18
old,Cypher,ExpandInto.executePlan,"ExpandInto.executePlan_(runtime,compiled-bytecode)",LATENCY,1271.293542,ms,1575788177503,08/12/2019 06:56:18
old,Cypher,ExpandInto.executePlan,"ExpandInto.executePlan_(runtime,compiled-bytecode)",LATENCY,1439.31037,ms,1575228520664,01/12/2019 19:28:41
old,Cypher,MapProjection.executePlan,"MapProjection.executePlan_(engine,INTERPRETED)_(includeAllProps,false)_(size,10)",LATENCY,3.668465296,ms,1576452190236,15/12/2019 23:23:10
old,Cypher,MapProjection.executePlan,"MapProjection.executePlan_(engine,INTERPRETED)_(includeAllProps,false)_(size,10)",LATENCY,3.68315455,ms,1576214538490,13/12/2019 05:22:18
old,Cypher,MapProjection.executePlan,"MapProjection.executePlan_(engine,INTERPRETED)_(includeAllProps,false)_(size,10)",LATENCY,3.815360739,ms,1575788177503,08/12/2019 06:56:18
old,Cypher,MapProjection.executePlan,"MapProjection.executePlan_(engine,INTERPRETED)_(includeAllProps,false)_(size,10)",LATENCY,3.608294102,ms,1575228520664,01/12/2019 19:28:41
old,Cypher,IndexSeek.executePlan,"IndexSeek.executePlan_(propertyType,long)_(runtime,slotted)_(selectivity,0.1)",LATENCY,10.04199486,ms,1576452190236,15/12/2019 23:23:10
old,Cypher,IndexSeek.executePlan,"IndexSeek.executePlan_(propertyType,long)_(runtime,slotted)_(selectivity,0.1)",LATENCY,9.922684326,ms,1576214538490,13/12/2019 05:22:18
old,Cypher,IndexSeek.executePlan,"IndexSeek.executePlan_(propertyType,long)_(runtime,slotted)_(selectivity,0.1)",LATENCY,9.881529044,ms,1575788177503,08/12/2019 06:56:18
old,Cypher,IndexSeek.executePlan,"IndexSeek.executePlan_(propertyType,long)_(runtime,slotted)_(selectivity,0.1)",LATENCY,9.846231199,ms,1575228520664,01/12/2019 19:28:41
old,Cypher,Selection.executePlan,"Selection.executePlan_(propertyType,small_string)_(runtime,slotted)_(selectivity,0.5)",LATENCY,244.358986,ms,1576452190236,15/12/2019 23:23:10
old,Cypher,Selection.executePlan,"Selection.executePlan_(propertyType,small_string)_(runtime,slotted)_(selectivity,0.5)",LATENCY,238.6063996,ms,1576214538490,13/12/2019 05:22:18
old,Cypher,Selection.executePlan,"Selection.executePlan_(propertyType,small_string)_(runtime,slotted)_(selectivity,0.5)",LATENCY,245.0796739,ms,1575788177503,08/12/2019 06:56:18
old,Cypher,Selection.executePlan,"Selection.executePlan_(propertyType,small_string)_(runtime,slotted)_(selectivity,0.5)",LATENCY,245.1775043,ms,1575228520664,01/12/2019 19:28:41
old,Cypher,CompositeIndexSeek.executePlan,"CompositeIndexSeek.executePlan_(propertyCount,2)_(propertyType,long)_(runtime,interpreted)_(selectivity,0.1)",LATENCY,26.04021281,ms,1576452190236,15/12/2019 23:23:10
old,Cypher,CompositeIndexSeek.executePlan,"CompositeIndexSeek.executePlan_(propertyCount,2)_(propertyType,long)_(runtime,interpreted)_(selectivity,0.1)",LATENCY,27.0717251,ms,1576214538490,13/12/2019 05:22:18
old,Cypher,CompositeIndexSeek.executePlan,"CompositeIndexSeek.executePlan_(propertyCount,2)_(propertyType,long)_(runtime,interpreted)_(selectivity,0.1)",LATENCY,26.24862207,ms,1575788177503,08/12/2019 06:56:18
old,Cypher,CompositeIndexSeek.executePlan,"CompositeIndexSeek.executePlan_(propertyCount,2)_(propertyType,long)_(runtime,interpreted)_(selectivity,0.1)",LATENCY,28.72970072,ms,1575228520664,01/12/2019 19:28:41
old,Cypher,GroupingAndAggregation.executePlan,"GroupingAndAggregation.executePlan_(distinctCount,10000)_(propertyType,small_string)_(runtime,compiled-bytecode)",LATENCY,66.19262584,ms,1576452190236,15/12/2019 23:23:10
old,Cypher,GroupingAndAggregation.executePlan,"GroupingAndAggregation.executePlan_(distinctCount,10000)_(propertyType,small_string)_(runtime,compiled-bytecode)",LATENCY,69.839369,ms,1576214538490,13/12/2019 05:22:18
old,Cypher,GroupingAndAggregation.executePlan,"GroupingAndAggregation.executePlan_(distinctCount,10000)_(propertyType,small_string)_(runtime,compiled-bytecode)",LATENCY,67.04367691,ms,1575788177503,08/12/2019 06:56:18
